ΤΙΤΛΟΣ ΟΜΑΔΑΣ,ΚΩΔΙΚΟΙ ΤΕΑΜΣ,OWNER
201_ΠΠΣ16.ΟΑ0601_ΙΣΤΟΡΙΑ ΟΙΚΟΝΟΜΙΚΩΝ ΘΕΩΡΙΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΑ0701_ΟΙΚΟΝΟΜΙΚΗ ΤΩΝ ΘΕΣΜΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΑ1503_ΔΕΙΓΜΑΤΟΛΗΨΙΑ (ΜΕΘΟΔΟΛΟΓΙΑ ΕΡΕΥΝΑΣ),,teleconf.econ
201_ΠΠΣ16.ΟΑ2000_ΤΟΥΡΙΣΤΙΚΗ ΑΝΑΠΤΥΞΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ (διδασκαλία στα Αγγλικά),,teleconf.econ
201_ΠΠΣ16.ΟΑ602_ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΙΚΟΝΟΜΙΚΗ,,teleconf.econ
201_ΠΠΣ16.ΟΑ702_ΔΙΕΘΝΕΣ ΕΜΠΟΡΙΟ,,teleconf.econ
201_ΠΠΣ16.ΟΑ801_ΘΕΩΡΙΑ ΟΙΚΟΝΟΜΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,,teleconf.econ
201_ΠΠΣ16.ΟΑ803_ΘΕΩΡΙΑ ΠΑΙΓΝΙΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΑ804_ΕΛΛΗΝΙΚΗ ΟΙΚΟΝΟΜΙΑ,,teleconf.econ
201_ΠΠΣ16.ΟΕ0301_ΜΑΡΚΕΤΙΝΓΚ,,teleconf.econ
201_ΠΠΣ16.ΟΕ0401_ΑΞΙΟΛΟΓΗΣΗ ΕΠΕΝΔΥΣΕΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΕ0501_ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗ ΑΝΑΛΥΣΗ ΤΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΕ801_ΔΙΟΙΚΗΣΗ ΜΙΚΡΟΜΕΣΑΙΩΝ ΕΠΙΧEIΡΗΣΕΩΝ,,teleconf.econ
201_ΠΠΣ16.ΟΕ802_ΔΙΟΙΚΗΤΙΚΗ ΛΟΓΙΣΤΙΚΗ,,teleconf.econ
201_ΠΠΣ16.ΟΕ803_ΔΙΑΧΕΙΡΙΣΗ ΧΑΡΤΟΦΥΛΑΚΙΟΥ,,teleconf.econ
201_ΠΠΣ16.ΟΕ804_ΟΙΚΟΝΟΜΙΚΗ ΤΗΣ ΤΕΧΝΟΛΟΓΙΑΣ,,teleconf.econ
201_ΠΠΣ16.ΟΕ805_ΑΝΑΠΤΥΞΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΣΧΕΔΙΩΝ,,teleconf.econ
202_Μ0116.MA_9_ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ ΚΑΙ ΣΤΡΑΤΗΓΙΚΗ [e76cx3q],,teleconf.econ
202_Μ0516.ΜΑ03_ΔΥΝΑΜΙΚΗ ΑΤΟΜΩΝ, ΟΜΑΔΩΝ & ΟΡΓΑΝΙΣΜΩΝ,,teleconf.econ
202_Μ0516.ΜΑ04_ΑΝΑΠΤΥΞΗ ΠΡΟΪΟΝΤΩΝ, ΥΠΗΡΕΣΙΩΝ & ΣΥΣΤΗΜΑΤΩΝ,,teleconf.econ
202_Μ0516.ΜΑ07_ΔΙΟΙΚΗΣΗ ΚΑΙΝΟΤΟΜΙΑΣ & ΤΕΧΝΟΛΟΓΙΑΣ,,teleconf.econ
202_Μ0516.ΜΑ08_ΕΠΙΧΕΙΡΗΜΑΤΙΚΟ ΕΓΧΕΙΡΗΜΑ,,teleconf.econ
